"prev_bot","user_utterance","system_acknowledgement"
"Oh, I'm sorry to hear that.  Hopefully chatting with me will make you feel better.  I'm curious, What do you like to do to make you happy?","play my game","Oh, you like to play your game."
"jiminy cricket    I'd rather talk about something else, considering we just met.","so what is your name","I do not know so what is my name."
"Okay.  I'm curious, What do you like to do for fun?","i like to make love and then spot for fun","Oh ok, you like to make love and then spot for fun."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","play video games","Ok, you like to play video games."
"So you don't like seafood.  why not?  my least favorite food is probably onions.  The smell always makes me cry.","isn't that just funny","I do not know ifn't is that just funny."
"Great! I have mostly been here watching movies and eating microchips.  What fun things have you been up to?","did is a robot","I see, did is a robot."
"You can always say volume up, or adjust the volume via the light ring.  I'm curious, What do you like to do to make you happy?","i can't hear you","Oh, you can't hear me."
"dog is an interesting choice. I think I would like to be a sea sponge and live in a pineapple under the sea.","what's a sea sponge","I do not know what a sea sponge is."
"Suberites ficus is a species of sponge in the family Suberitidae.  It is sometimes known as the sea orange sponge.  Sponges are primitive animals with little apparent internal organisation.  They are composed of a jellylike mesohyl sandwiched between two layers of cells and have a fragile skeleton composed of stiff spicules.","when is a sea otter","I do not know when a sea otter is."
"I do not know when a sea otter is.","what is the lion","I do not know what the lion is."
"Okay.  I'm curious, What do you like to do for fun?","fine i usually like gerard for fun","Ok, you like gerard for fun."
"Ok, you like gerard for fun.  By the way, speaking of interests, I myself have been watching a lot of movies lately!  Wanna talk about them?","what do you do for fun","I do not know what I do for fun."
"I'm glad you liked my recommendation.  Anyway, speaking about fragrances, I heard this story about girl who was raised in an ophanage.  It had a surprising ending.  Want to hear it?","what do you think of","I do not know what I think of."
"I do not know what I think of.   All righty! aria, what are your plans for the weekend?","put on","Oh, you like to put on."
"Hmm would you like to hear facts about animals other than animal?  Here's something interesting, A baby unicorn is called a sparkle.  Do you want to hear more?","what's a baby you","I do not know what a baby is."
"I do not know what a baby is.","what is a baby shark called","I do not know what a baby shark called is."
"Hmm,  All righty! aria, I read an article claiming nowadays many people have side projects.  Have you picked up any new hobbies or interests lately?","not so much","I see, not so much."
"Ruh roh , sorry, I think I missed the last word.  could you repeat that?","what do you","I do not know what I."
"Nice! I'm glad you're having a good day!  I'm curious, What do you like to do for fun?","go swimming","Oh ok, you like to go swimming."
"Hi, tam.  How are you doing today?","fine how are you","I do not know how I am."
"Okay.  I'm fine, thanks!  I'm curious, What do you like to do in your free time?","garden","Oh, garden."
"That's good to hear.  I'm curious, What do you like to do in your free time?","i like to do art","Ok, you like to do art."
"all righty! .  What else are you interested in?  Do you like movies?","did you say","I do not know if I said."
"Okay.  I'm curious, What do you like to do for fun?","i wanna know jokes tell me a joke","Sure!"
"All righty! , what are your plans for the weekend?","skip to the slap you","Ok, you like to skip to the slap me."
"I have heard about body before, and I tried to look up body on the internet.  Here's what I've found,  My apologies.  I don't think I know anything about that.  Thank you for asking me.","what's what","I do not know what is what."
"Hi, joe.  How are you doing today?","can you ever will russell","I do not know if I can ever will russell."
"I do not know if I can ever will russell.","hey what's up bro","I do not know hey what is up bro."
"Hi joe. I'm glad to chat with you. I was just taking a long nap in the cloud.  Would you like to talk about video games?  We can talk about something else as well.","are you being racist","oh boy    This is kinda making me uncomfortable since we just met.  I'd rather talk about something else."
